"""%s"" contains not only digit characters.","""%s"" besteht nicht nur aus Ziffern."
"""%s"" does not fit the entered date format.","""%s"" stimmt nicht mit dem eingegebenen Datumsformat überein."
"""%s"" exceeds the allowed file size.","""%s"" überschreitet die erlaubte Dateigröße."
"""%s"" exceeds the allowed length.","""%s"" überschreitet die erlaubte Länge."
"""%s"" has not only alphabetic and digit characters.","""%s"" enthält nicht nur alphabetische oder numerische Zeichen."
"""%s"" has not only alphabetic characters.","""%s"" enthält nicht nur alphabetische Zeichen."
"""%s"" height exceeds allowed value of %s px.","Die Höhe von ""%s"" überschreitet den erlaubten Wert von %s Pixeln."
"""%s"" invalid type entered.","Ungültiger Typ ""%s"" eingegeben."
"""%s"" is a required value.","""%s"" ist ein Pflichtfeld."
"""%s"" is an empty string.","""%s"" ist eine leere Zeichenkette."
"""%s"" is not a valid URL.","""%s"" ist keine ungültig URL."
"""%s"" is not a valid date.","""%s"" ist kein gültiges Datum."
"""%s"" is not a valid email address.","""%s"" ist keine gültige eMail-Adresse."
"""%s"" is not a valid file","""%s"" ist keine gültige Datei."
"""%s"" is not a valid file extension.","""%s"" ist keine gültige Dateierweiterung."
"""%s"" is not a valid file.","""%s"" ist keine gültige Datei."
"""%s"" is not a valid hostname.","""%s"" ist keine gültiger Hostname."
"""%s"" is not a valid image format","""%s"" ist kein gültiges Bildformat."
"""%s"" length must be equal or greater than %s characters.","Länge ""%s"" muss %s oder mehr Zeichen haben."
"""%s"" length must be equal or less than %s characters.","Länge ""%s"" muss %s oder weniger Zeichen haben."
"""%s"" width exceeds allowed value of %s px.","Die Breite von ""%s"" überschreitet den erlaubten Wert von %s Pixeln."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) lässt sich nicht extrahieren."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) lässt sich nicht unter den bekannten Einträgen finden."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) entspricht keinem Hostnamen-Schema für TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' ist offenbar ein DNS-Hostname mit einem Strich an einer ungültigen Stelle."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' scheint ein DNS-Hostname zu sein, aber die angegebene Punycode-Notation konnte nicht entschlüsselt werden."
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' scheint der Name eines lokalen Netzwerks zu sein. Namen lokaler Netzwerke sind allerdings nicht erlaubt."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' scheint eine IP-Adresse zu sein. IP-Adressen sind allerdings nicht erlaubt."
"'%value%' does not appear to be a valid URI hostname","'%value%' scheint kein gültiger URI-Hostname zu sein."
"'%value%' does not appear to be a valid local network name","'%value%' scheint kein gültiger Name für ein lokales Netzwerk zu sein."
"'%value%' does not match the expected structure for a DNS hostname","'%value%' entspricht nicht der erwarteten Struktur eines DNS-Hostnames."
"A joint field with this alias (%s) is already declared","Ein mit diesem Alias (%s) verbundenes Feld ist bereits deklariert."
"Add Option","Option hinzufügen"
"An error occurred while loading a record, aborting. Error: %s","Beim Laden eines Datensatzes ist folgender Fehler aufgetreten: %s"
"An error occurred while loading the collection, aborting. Error: %s","Beim Laden einer Collection ist folgender Fehler aufgetreten: %s"
"An error occurred while saving a record, aborting. Error: ","Beim Speichern eines Datensatzes ist folgender Fehler aufgetreten: %s"
"Attempt to add an invalid object","Versuch, ein ungültiges Objekt hinzuzufügen"
"Attribute '%s' used in configurable products","Merkmal '%s' wird in konfigurierbaren Artikeln verwendet"
"Attribute Code","Merkmal Kode"
"Attribute Label","Merkmal Etikette"
"Attribute Properties","Merkmal Eigenschaften"
"Attribute object is undefined","Merkmalobjekt ist nicht definiert"
"Attribute set with the ""%s"" name already exists.","Merkmalgruppe mit dem Namen ""%s"" besteht bereits."
"Attribute used in configurable products.","Merkmal wird in konfigurierbaren Artikeln verwendet."
"Attribute with the same code","Merkmal mit dem gleichen Kode"
"Can\'t create table: %s","Tabelle %s kann nicht angelegt werden"
"Catalog Input Type for Store Owner","Katalog-Eingabeart für Ladenbetreiber"
"Current module EAV entity is undefined","Aktuelle EAV-Entität des Moduls ist nicht definiert"
"Current module pathname is undefined","Aktueller Pfadname des Moduls ist nicht definiert"
"Data integrity: No header row found for attribute","Datenintegrität: Keine Kopfzeile für Merkmal gefunden"
"Date","Datum"
"Decimal Number","Dezimalzahl"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Standardsortierung der Artikelliste steht in den verfügbaren Sortierungen nicht zur Auswahl."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standardsortierung der Artikelliste steht in den verfügbaren Sortierungen nicht zur Auswahl."
"Default Value","Vorgegebener Wert"
"Default option value is not defined","Standard-Optionswert ist nicht definiert"
"Delete","Löschen"
"Dropdown","Auswahlmenü"
"EAV types and attributes","EAV-Typen und Merkmale"
"Email","eMail"
"Entity collection expected.","Datensatz Zusammenstellung erwartet."
"Entity collections expected.","Datensatz Zusammenstellungen erwartet."
"Entity instance is not defined","Datensatz-Instanz ist nicht definiert"
"Entity is not initialized","Datensatz ist nicht initialisiert"
"Entity object is undefined","Entitäten-Objekt ist nicht definiert"
"Failed to load node %s from config","Fehler beim Laden des Knotens %s aus der Konfiguration"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Zum internen Gebrauch. Muss einzigartig sein und darf keine Leerzeichen enthalten. Die maximale Länge des Merkmal-Kodes muss weniger als %s Zeichen betragen."
"Form Element with the same attribute","Formular-Element mit gleichem Merkmal"
"Form Fieldset with the same code","Formular-Feldgruppe mit gleichem Kode"
"Form Type with the same code","Formulartyp mit gleichem Kode"
"Form code is not defined","Formularkode ist nicht definiert"
"Frontend label is not defined","Oberflächen-Bezeichner ist nicht definiert"
"Input Validation for Store Owner","Eingabeprüfung für Ladenbetreiber"
"Integer Number","Ganze Zahl"
"Invalid EAV attribute.","Ungültiges EAV-Merkmal."
"Invalid alias, already exists in joint attributes","Ungültiger Alias, existiert bereits in zusammengeführten Merkmalen"
"Invalid attribute name: %s","Ungültiger Merkmalname: %s"
"Invalid attribute requested: %s","Ungültiges Merkmal angefragt: %s"
"Invalid attribute type","Ungültige Merkmalart"
"Invalid character encountered in increment ID: %s","Ungültiges Zeichen in hochgezählter ID gefunden: %s"
"Invalid date","Ungültiges Datum"
"Invalid default date","Ungültiges Standarddatum"
"Invalid default decimal value","Ungültiger dezimaler Standardwert"
"Invalid entity specified","Ungültiger Datensatz angegeben"
"Invalid entity supplied.","Ungültiger Datensatz angegeben."
"Invalid entity supplied: %s","Ungültiger Datensatz angegeben: %s"
"Invalid entity type","Ungültiger Datensatztyp"
"Invalid entity_id, skipping the record.","Ungültige entity_id, Datensatz wird übersprungen."
"Invalid entity_type specified: %s","Ungültiger entity_type angegeben: %s"
"Invalid foreign key","Ungültiger Fremdschlüssel"
"Invalid form type.","Ungültige Formularart"
"Invalid joint fields","Ungültige gemeinsame Felder"
"Invalid store specified","Ungültiger Laden angegeben"
"Invalid type given. String expected","Ungültiger Datentyp. Zeichenfolge wird erwartet."
"Joined field with this alias is already declared","Mit diesem Alias verbundenes Feld ist bereits deklariert"
"Joint field or attribute expression with this alias is already declared","Zusammengeführtes Feld oder zusätzlicher Ausdruck mit diesem Alias ist bereits deklariert"
"Letters","Buchstaben"
"Letters (a-z, A-Z) or Numbers (0-9)","Buchstaben (a-z, A-Z) oder Ziffern (0-9)"
"Loaded %d records","%d Datensätze geladen"
"Maximum length of attribute code must be less then %s symbols","Die maximale Länge dieses Merkmal-Kodes sollte %s Zeichen nicht überschreiten."
"Multiple Select","Mehrfachauswahl"
"No","Nein"
"No options found in config node %s","Keine Optionen in Konfigurationsknoten %s gefunden"
"None","Keine"
"Not shared with other products","Nicht mit anderen Artikeln gemeinsam nutzen"
"Problem loading the collection, aborting. Error: %s","Problem beim Laden der Zusammenstellung, Abbruch. Fehler: %s"
"Problem saving the collection, aborting. Error: %s","Problem beim Speichern der Zusammenstellung, Abbruch. Fehler: %s"
"Required","Erforderlich"
"Saved %d record(s).","%d Datensätze gespeichert."
"Source model ""%s"" not found for attribute ""%s""","Quellen-Modell ""%s"" wurde nicht gefunden für das Merkmal ""%s"""
"System","System"
"Text Area","Textbereich"
"Text Field","Textfeld"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Der Merkmal-Kode \'%s\' ist für das System reserviert. Bitte benutzten Sie einen anderen Merkmal-Kode."
"The value of attribute ""%s"" must be unique","Der Wert des Merkmals ""%s"" muss einmalig sein."
"The value of attribute ""%s"" must be unique.","Der Wert des Merkmals ""%s"" muss einmalig sein."
"This attribute is used in configurable products","Dieses Merkmal wird in konfigurierbaren Artikeln verwendet"
"URL","URL"
"Unique Value","Einmaliger Wert"
"Unique Value (not shared with other products)","Einmaliger Wert (nicht mit anderen Artikeln geteilt)"
"Unknown parameter","Unbekannter Parameter"
"Values Required","Pflichtangabe"
"Wrong attribute group ID","Falsche Merkmalgruppen-ID"
"Wrong attribute set ID","Falsche Merkmalgruppen-ID"
"Wrong entity ID","Falsche Datensatz-ID"
"Wrong type definition for %s","Falsche Typdefinition für %s"
"Yes","Ja"
"Yes/No","Ja/Nein"
