" Copy","Kopie"
"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Vormerken"
"Allow Guest Subscription","Gast-Abonnement erlauben"
"An error occurred while saving your subscription.","Beim Speichern Ihres Abonnements ist ein Fehler aufgetreten."
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Schlagwörter entfernen wollen?"
"Back","Zurück"
"Cancel","Abbrechen"
"Cancelled","Abgebrochen"
"Cannot mark as received subscriber.","Nicht als empfangender Abonnent markierbar."
"Confirmation Email Sender","Bestätigungs-eMail-Absender"
"Confirmation Email Template","Bestätigungs-eMail-Vorlage"
"Confirmation request has been sent.","Bestätigungsanfrage wurde gesendet."
"Convert to Plain Text","In unformatierten Text umwandeln"
"Create Newsletter Template","Newsletter-Vorlage erstellen"
"Customer","Kunde"
"Customer First Name","Kunde Vorname"
"Customer Last Name","Kunde Nachname"
"Customer Middle Name","Kunde Erster Nachname/Initialen"
"Customer My Account Newsletter Subscriptions","Kunde ""Mein Benutzerkonto"" Newsletter Abonnements"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisiert am"
"Delete","Löschen"
"Delete Selected Problems","Ausgewählte Probleme löschen"
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Wollen Sie wirklich die Warteschlange abbrechen?"
"Duplicate template code.","Doppeltes Vorkommen des Vorlagenkodes."
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newsletter-Vorlage bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","eMail"
"Enter Your Email","Geben Sie Ihre eMail ein"
"Enter your email address","Geben Sie Ihre eMail-Adresse ein"
"Error Code","Fehlerkode"
"Error Text","Fehlertext"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Folgen sie diesem Link, um sich vom Newsletter abzumelden &lt;!-- This tag is for unsubscribe link --&gt;<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","ID"
"Invalid queue selected.","Ungültige Warteschlange ausgewählt."
"Invalid subscription ID.","Ungültige Abonnentenkennung."
"Invalid subscription confirmation code.","Ungültiger Abonnement-Bestätigungsschlüssel."
"Message","Nachricht"
"Need to Confirm","Bestätigung erforderlich"
"New Newsletter Template","Neue Newsletter-Vorlage"
"New Template","Neue Vorlage"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Vorschau der Nachricht"
"Newsletter Problem Reports","Newsletter Problembericht"
"Newsletter Queue","Newsletter Warteschlange"
"Newsletter Section","Newsletter"
"Newsletter Sign-up:","Newsletter-Anmeldung:"
"Newsletter Styles","Newsletter Stile"
"Newsletter Subscribers","Newsletter Bezieher"
"Newsletter Subscription","Newsletter abonnieren"
"Newsletter Subscription Form Before","Vorhergehende Anmeldung zum Newsletter"
"Newsletter Subscriptions","Newsletter Abos"
"Newsletter Templates","Newsletter Vorlagen"
"Newsletter subscription confirmation","Newsletter Anmeldebestätigung"
"Newsletter subscription success","Erfolgreiche Anmeldung zum Newsletter"
"Newsletter unsubscription success","Erfolgreiche Abmeldung vom Newsletter"
"No Templates Found","Keine Vorlagen gefunden"
"No problems found.","Keine Probleme gefunden."
"No subscribers selected.","Keine Abonnenten ausgewählt."
"Not Activated","Nicht aktiviert"
"Not Sent","Nicht gesendet"
"Pause","Pause"
"Paused","Pausiert"
"Please enter a valid email address.","Bitte geben Sie eine gültige eMail-Adresse ein."
"Please enter new template name","Bitte geben Sie einen neuen Vorlagennamen ein."
"Please refer to exeption.log","Bitte sehen Sie in der Datei exeption.log nach."
"Please select subscriber(s)","Bitte wählen Sie den/die Abonnent/en"
"Preview","Vorschau"
"Preview Template","Vorschau der Vorlage"
"Processed","Verarbeitet"
"Queue Date Start","Warteschlange Startdatum"
"Queue Finish","Warteschlange Fertig"
"Queue Information","Warteschlange Informationen"
"Queue Newsletter...","Warteschlange Newsletter..."
"Queue Start","Warteschlange Start"
"Queue Subject","Warteschlange Betreff"
"Recipients","Empfänger"
"Reset","Zurücksetzen"
"Resume","Fortsetzen"
"Return HTML Version","HTML-Version zurückgeben"
"Save As","Speichern unter"
"Save Newsletter","Newsletter speichern"
"Save Template","Vorlage speichern"
"Save and Resume","Speichern und fortsetzen"
"Selected problem subscribers have been unsubscribed.","Ausgewählte Rundbrief-Bezieher mit Problemen wurden vom Abonnement abgemeldet."
"Selected problems have been deleted.","Ausgewählte Probleme wurden gelöscht."
"Sender","Absender"
"Sender Email","Absender eMail"
"Sender Name","Absender Name"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Sign Up for Our Newsletter:","Abonnieren Sie unsere regel&shy;mäßigen Produkt&shy;informationen. (Diese können Sie jeder&shy;zeit über einen in der eMail ent&shy;haltenen Link wieder ab&shy;bestellen.)"
"Sign up for our newsletter","Abonnieren Sie unsere regel&shy;mäßigen Produkt&shy;informationen. (Diese können Sie jeder&shy;zeit über einen in der eMail ent&shy;haltenen Link wieder ab&shy;bestellen.)"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Leider gestattet der Administrator keine Gastanmeldung. Bitte <a href="%s">registrieren Sie sich</a>."
"Start","Starten"
"Status","Status"
"Store","Laden"
"Store View","Ladenansicht"
"Subject","Betreff"
"Submit","Absenden"
"Subscribe","Abonnieren"
"Subscribed","Abonniert"
"Subscriber","Abonnent"
"Subscribers","Abonnenten"
"Subscribers From","Abonennten aus"
"Subscription Options","Abonnement-Optionen"
"Success Email Sender","Erfolg eMail-Absender"
"Success Email Template","Erfolg eMail-Vorlage"
"Template Content","Vorlagen Inhalt"
"Template Information","Vorlagen Information"
"Template Name","Vorlagen Name"
"Template Styles","Vorlagen Stile"
"Template Subject","Vorlagen Betreff"
"Template Type","Vorlagen Art"
"Thank you for your subscription.","Danke für's Abonnieren!"
"The subscription has been removed.","Das Abonnement wurde entfernt."
"The subscription has been saved.","Das Abonnement wurde gespeichert."
"There was a problem with the subscription.","Bei der Anmeldung trat ein Fehler auf."
"There was a problem with the subscription: %s","Mit der Anmeldung "%s" gibt es ein Problem."
"There was a problem with the un-subscription.","Bei der Abmeldung trat ein Fehler auf."
"This email address is already assigned to another user.","Diese eMail-Adresse wird schon von einem anderen Nutzer verwendet."
"Type","Art"
"Unconfirmed","Unbestätigt"
"Unsubscribe","Abonnement kündigen"
"Unsubscribe Selected","""Abonnement beenden"" ausgewählt"
"Unsubscribed","Abonnements gekündigt"
"Unsubscription Email Sender","Abmeldung eMail-Absender"
"Unsubscription Email Template","Abmeldung eMail-Vorlage"
"View Newsletter","Newsletter ansehen"
"Website","Webseite"
"You have been unsubscribed.","Ihr Abonnement wurde gekündigt."
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
